REFTUT_fullCoRE Edges: 8217, Vertices: 651,     Beta index:  12.62
NIKDAM_fullCoRE Edges: 46, Vertices: 46,     Beta index:  1.00
KULRIT_fullCoRE Edges: 9378, Vertices: 702,     Beta index:  13.36
MEXJAC_fullCoRE Edges: 0, Vertices: 242,     Beta index:  0.00
XIBZUF_fullCoRE Edges: 3, Vertices: 44,     Beta index:  0.07
NUTQAV_fullCoRE Edges: 9110, Vertices: 541,     Beta index:  16.84
NUTQAV_fullCoRE Edges: 9110, Vertices: 541,     Beta index:  16.84
NUTQAV_fullCoRE Edges: 9110, Vertices: 541,     Beta index:  16.84
XIBZUF_fullCoRE Edges: 3, Vertices: 44,     Beta index:  0.07
MEXJAC_fullCoRE Edges: 0, Vertices: 242,     Beta index:  0.00
PEJFOA_fullCoRE Edges: 12685, Vertices: 700,     Beta index:  18.12
KULRIT_fullCoRE Edges: 9378, Vertices: 702,     Beta index:  13.36
NIKDAM_fullCoRE Edges: 46, Vertices: 46,     Beta index:  1.00
REFTUT_fullCoRE Edges: 8217, Vertices: 651,     Beta index:  12.62
MIHBAG_fullCoRE Edges: 8085, Vertices: 635,     Beta index:  12.73
GIYTIS_fullCoRE Edges: 564, Vertices: 296,     Beta index:  1.91
AFOVIB_fullCoRE Edges: 0, Vertices: 35,     Beta index:  0.00
AFOVIB_fullCoRE Edges: 0, Vertices: 35,     Beta index:  0.00
GIYTIS_fullCoRE Edges: 564, Vertices: 296,     Beta index:  1.91
MIHBAG_fullCoRE Edges: 8085, Vertices: 635,     Beta index:  12.73
REFTUT_fullCoRE Edges: 8217, Vertices: 651,     Beta index:  12.62
NIKDAM_fullCoRE Edges: 46, Vertices: 46,     Beta index:  1.00
KULRIT_fullCoRE Edges: 9378, Vertices: 702,     Beta index:  13.36
PEJFOA_fullCoRE Edges: 12685, Vertices: 700,     Beta index:  18.12
MEXJAC_fullCoRE Edges: 0, Vertices: 242,     Beta index:  0.00
XIBZUF_fullCoRE Edges: 3, Vertices: 44,     Beta index:  0.07
NUTQAV_fullCoRE Edges: 9110, Vertices: 541,     Beta index:  16.84
NUTQAV_fullCoRE Edges: 9110, Vertices: 541,     Beta index:  16.84
NUTQAV_fullCoRE Edges: 9110, Vertices: 541,     Beta index:  16.84
